,Barrio,Direccion,Provincia
0,BORGES,CALLE  16 Y 103 Nº 407 ,Santiago del Estero
1, EJERCITO ARGENTINO ,CALLE 69 Nº 829 ,Santiago del Estero
2, LA CATOLICA,CALLE  DEMOCRACIA Nº 326 ,Santiago del Estero
3, RIVADAVIA,RIVADAVIA Nº 1605 ,Santiago del Estero
4, SIGLO XXI,MANZANA 10.LOTE.11.,Santiago del Estero
5,STA L,CALLE LAMADRID Y PJE/Vº DE LORETO Nº 2332 ,Santiago del Estero
6, SAN JOSE DE FLORES,2º PJE Y CALLE 489 S/Nº ,Santiago del Estero
7, EJERCITO ARGENTINO ,CALLE 65 Nº 362 ,Santiago del Estero
8, BELGRANO/CONDICIONAL,CALLE AZCUENAGA Nº 164 ,Santiago del Estero
9," SAN MARTIN , LA BANDA,",CERVANTES Nº 237 ,Santiago del Estero
10, M.MORENO,CALLE PERALTA LUNA Nº 1374 ,Santiago del Estero
11, BELGRANO,24 DE SEPTIEMBRE Nº 892 ,Santiago del Estero
12, C. CONTRERAS OESTE,MANZANA 44 LOTE 22 ,Santiago del Estero
13, R CARRILLO,AV BELGRANO Nº 1379 1ºP/,Santiago del Estero
14, LIBERTAD,CALLE  REDUCCION Nº 55 ,Santiago del Estero
15, CENTRO,SAN MARTIN Nº 185 3º C ,Santiago del Estero
16, VILLA DEL CARMEN 1º AMP.,MANZANA 3 LOTE 17 ,Santiago del Estero
17, C CONTRERAS VIEJO,MANZANA 4 LOTE 21 ,Santiago del Estero
18,EJ.ARGEN,CALLE  MARIO R LUNA BLOK E4 ,Santiago del Estero
19, ALBERDI,ALVEAR Nº 354 ,Santiago del Estero
20, EL VINALAR,MANZANA 37 LOTE 5- ,Santiago del Estero
21, CENTRO,BUENOS AIRES Nº 664 ,Santiago del Estero
22, CPO CONTRERAS VIEJO,MANZANA 50 LOTE 24 ,Santiago del Estero
23, M.MORENO,AV.AGUIRRE (S) Nº 2021 ,Santiago del Estero
24,,STA MARIA ,Santiago del Estero
25, 1º AMP.BORGES,MAZ G LOTE 13 ,Santiago del Estero
26, M. MORENO 1º AMPL.,MANZANA 7 LOTE 16 ,Santiago del Estero
27, STA LUCIA,SAN MARCOS Y STA ROSA S/Nº ,Santiago del Estero
28, JHON KENNEDY,CALLE 10 Nº 195 ,Santiago del Estero
29, SARMIENTO CONDICIONAL,COLON (S)Nº 2172 ,Santiago del Estero
